country,company,bucket,filing_count
ALL,Acer Incorporated,2005-04-01,1
ALL,Acer Incorporated,2005-07-01,1
ALL,Acer Incorporated,2006-02-01,1
ALL,Acer Incorporated,2006-04-01,1
ALL,Acer Incorporated,2006-07-01,3
ALL,Acer Incorporated,2006-08-01,1
ALL,Acer Incorporated,2006-10-01,1
ALL,Acer Incorporated,2006-12-01,1
ALL,Acer Incorporated,2007-04-01,4
ALL,Acer Incorporated,2007-08-01,5
ALL,Acer Incorporated,2008-03-01,1
ALL,Acer Incorporated,2008-05-01,1
ALL,Acer Incorporated,2008-09-01,1
ALL,Acer Incorporated,2008-12-01,2
ALL,Acer Incorporated,2009-03-01,7
ALL,Acer Incorporated,2009-04-01,5
ALL,Acer Incorporated,2009-05-01,9
ALL,Acer Incorporated,2009-07-01,2
ALL,Acer Incorporated,2009-09-01,1
ALL,Acer Incorporated,2009-10-01,1
ALL,Acer Incorporated,2009-11-01,6
ALL,Acer Incorporated,2009-12-01,5
ALL,Acer Incorporated,2010-03-01,10
ALL,Acer Incorporated,2010-06-01,6
ALL,Acer Incorporated,2010-07-01,2
ALL,Acer Incorporated,2010-08-01,2
ALL,Acer Incorporated,2010-09-01,1
ALL,Acer Incorporated,2010-10-01,6
ALL,Acer Incorporated,2010-11-01,7
ALL,Acer Incorporated,2010-12-01,12
ALL,Acer Incorporated,2011-01-01,7
ALL,Acer Incorporated,2011-03-01,3
ALL,Acer Incorporated,2011-04-01,10
ALL,Acer Incorporated,2011-05-01,4
ALL,Acer Incorporated,2011-06-01,14
ALL,Acer Incorporated,2011-07-01,1
ALL,Acer Incorporated,2011-08-01,3
ALL,Acer Incorporated,2011-09-01,9
ALL,Acer Incorporated,2011-10-01,3
ALL,Acer Incorporated,2011-11-01,8
ALL,Acer Incorporated,2012-02-01,3
ALL,Acer Incorporated,2012-03-01,2
ALL,Acer Incorporated,2012-04-01,5
ALL,Acer Incorporated,2012-07-01,12
ALL,Acer Incorporated,2012-08-01,12
ALL,Acer Incorporated,2012-09-01,3
ALL,Acer Incorporated,2012-10-01,3
ALL,Acer Incorporated,2012-11-01,15
ALL,Acer Incorporated,2012-12-01,4
ALL,Acer Incorporated,2013-01-01,10
ALL,Acer Incorporated,2013-02-01,3
ALL,Acer Incorporated,2013-03-01,6
ALL,Acer Incorporated,2013-04-01,13
ALL,Acer Incorporated,2013-05-01,3
ALL,Acer Incorporated,2013-06-01,25
ALL,Acer Incorporated,2013-07-01,1
ALL,Acer Incorporated,2013-08-01,17
ALL,Acer Incorporated,2013-09-01,1
ALL,Acer Incorporated,2013-10-01,4
ALL,Acer Incorporated,2013-12-01,15
ALL,Acer Incorporated,2014-01-01,11
ALL,Acer Incorporated,2014-03-01,3
ALL,Acer Incorporated,2014-04-01,20
ALL,Acer Incorporated,2014-06-01,4
ALL,Acer Incorporated,2014-07-01,13
ALL,Acer Incorporated,2014-08-01,15
ALL,Acer Incorporated,2014-10-01,12
ALL,Acer Incorporated,2014-12-01,1
ALL,Acer Incorporated,2015-01-01,5
ALL,Acer Incorporated,2015-02-01,2
ALL,Acer Incorporated,2015-03-01,15
ALL,Acer Incorporated,2015-04-01,2
ALL,Acer Incorporated,2015-05-01,10
ALL,Acer Incorporated,2015-06-01,1
ALL,Acer Incorporated,2015-07-01,1
ALL,Acer Incorporated,2015-08-01,1
ALL,Acer Incorporated,2015-09-01,2
ALL,Acer Incorporated,2015-10-01,13
ALL,Acer Incorporated,2015-11-01,12
ALL,Acer Incorporated,2016-01-01,9
ALL,Acer Incorporated,2016-03-01,9
ALL,Acer Incorporated,2016-05-01,5
ALL,Acer Incorporated,2016-07-01,6
ALL,Acer Incorporated,2016-08-01,4
ALL,Acer Incorporated,2017-01-01,9
ALL,Acer Incorporated,2017-02-01,3
ALL,Acer Incorporated,2017-03-01,4
ALL,Acer Incorporated,2017-07-01,10
ALL,Acer Incorporated,2017-08-01,8
ALL,Acer Incorporated,2017-09-01,5
ALL,Acer Incorporated,2018-01-01,14
ALL,Acer Incorporated,2018-02-01,7
ALL,Acer Incorporated,2018-05-01,1
ALL,Acer Incorporated,2018-06-01,4
ALL,Acer Incorporated,2018-08-01,6
ALL,Acer Incorporated,2019-01-01,5
ALL,Acer Incorporated,2019-03-01,5
ALL,Acer Incorporated,2019-04-01,2
ALL,Acer Incorporated,2019-05-01,2
ALL,Acer Incorporated,2019-06-01,16
ALL,Acer Incorporated,2019-08-01,4
ALL,Acer Incorporated,2019-09-01,8
ALL,Acer Incorporated,2019-11-01,8
ALL,Acer Incorporated,2020-03-01,5
ALL,Acer Incorporated,2020-04-01,7
ALL,Acer Incorporated,2020-06-01,1
ALL,Acer Incorporated,2020-08-01,14
ALL,Acer Incorporated,2020-11-01,2
ALL,Acer Incorporated,2021-01-01,3
ALL,Acer Incorporated,2021-02-01,7
ALL,Acer Incorporated,2021-03-01,11
ALL,Acer Incorporated,2021-04-01,2
ALL,Acer Incorporated,2021-05-01,6
ALL,Acer Incorporated,2021-06-01,1
ALL,Acer Incorporated,2021-07-01,6
ALL,Acer Incorporated,2021-08-01,29
ALL,Acer Incorporated,2021-09-01,9
ALL,Acer Incorporated,2021-10-01,19
ALL,Acer Incorporated,2021-12-01,1
ALL,Acer Incorporated,2022-01-01,14
ALL,Acer Incorporated,2022-05-01,2
ALL,Acer Incorporated,2022-06-01,5
ALL,Acer Incorporated,2022-07-01,10
ALL,Acer Incorporated,2022-08-01,13
ALL,Acer Incorporated,2022-09-01,2
ALL,Acer Incorporated,2022-11-01,8
ALL,Acer Incorporated,2022-12-01,6
ALL,Acer Incorporated,2023-01-01,1
ALL,Acer Incorporated,2023-03-01,6
ALL,Acer Incorporated,2023-04-01,27
ALL,Acer Incorporated,2023-05-01,4
ALL,Acer Incorporated,2023-06-01,10
ALL,Acer Incorporated,2023-07-01,11
ALL,Acer Incorporated,2023-08-01,6
ALL,Acer Incorporated,2023-09-01,10
ALL,Acer Incorporated,2023-10-01,4
ALL,Acer Incorporated,2023-12-01,1
ALL,Acer Incorporated,2024-01-01,4
ALL,Acer Incorporated,2024-02-01,10
ALL,Acer Incorporated,2024-04-01,3
ALL,Acer Incorporated,2024-05-01,6
ALL,Acer Incorporated,2024-07-01,7
ALL,Acer Incorporated,2024-08-01,8
ALL,Acer Incorporated,2024-09-01,17
ALL,Acer Incorporated,2024-10-01,5
ALL,Acer Incorporated,2024-12-01,1
ALL,Acer Incorporated,2025-04-01,3
ALL,Acer Incorporated,2025-05-01,1
